"Please enter your name","What is your gender?","How old are you?","What is your job title?","Please rate the movie ""The Shining"" on a scale of 1-5","Please rate the movie ""It (2017)"" on a scale of 1-5","Please rate the movie ""Indiana Jones: Raiders of the Lost Ark"" on a scale of 1-5","Please rate the movie ""Avatar"" on a scale of 1-5","Please rate the movie ""Caddyshack"" on a scale of 1-5","Please rate the movie ""The Hangover"" on a scale of 1-5","Please rate the movie ""The Shawshank Redemption"" on a scale of 1-5","Please rate the movie ""The Social Network"" on a scale of 1-5","Please rate the movie ""Fahrenheit 9/11"" on a scale of 1-5","Please rate the movie ""Jiro Dreams of Sushi"" on a scale of 1-5"
"William","Male","28","Data Scientist","5","4","5","3","4","4","5","3","4","4"
"Maha","Female","27","Teacher","1","2","3","4","2","4","3","4","2","2"
"Donna","Female","68","Retired","1","I've never seen this movie.","4","4","3","4","5","I've never seen this movie.","3","I've never seen this movie."
"Theodore","Male","89","Retired","4","I've never seen this movie.","5","I've never seen this movie.","4","3","5","I've never seen this movie.","4","I've never seen this movie."
"Michelle","Female","37","Publicist","1","I've never seen this movie.","4","3","2","5","4","4","5","I've never seen this movie."
"Rob","Male","40","Doctor","4","4","5","5","5","5","4","4","4","3"
"Jay","Non-Binary","52","Nurse","4","3","4","2","I've never seen this movie.","3","4","2","3","4"
"Max","Non-Binary","31","Pre-School Teacher","I've never seen this movie.","I've never seen this movie.","4","3","I've never seen this movie.","4","I've never seen this movie.","4","4","5"
"Jarobi","Male","22","Film Maker","3","I've never seen this movie.","2","2","I've never seen this movie.","3","4","4","5","4"
"Teal","Female","41","Bar Manager","I've never seen this movie.","I've never seen this movie.","2","3","I've never seen this movie.","5","3","3","I've never seen this movie.","I've never seen this movie."
