year,state,special,cook_rating,winner_name,winner_party,winner_pct
1976,AZ,False,NA,Dennis DeConcini,Democrat,54.0
1976,CA,False,NA,S. I. (Sam) Hayakawa,Republican,50.2
1976,CT,False,NA,Lowell P. Weicker Jr.,Republican,57.7
1976,DE,False,NA,William V. Roth Jr.,Republican,55.8
1976,FL,False,NA,Lawton Chiles,Democrat,63.0
1976,HI,False,NA,Spark M. Matsunaga,Democrat,53.7
1976,IN,False,NA,Richard G. Lugar,Republican,59.0
1976,ME,False,NA,Edmund S. Muskie,Democrat,60.2
1976,MD,False,NA,Paul S. Sarbanes,Democrat,56.6
1976,MA,False,NA,Edward M. Kennedy,Democrat,69.3
1976,MI,False,NA,Donald W. Riegle Jr.,Democrat,52.5
1976,MN,False,NA,Hubert H. Humphrey,Democrat,67.5
1976,MS,False,NA,John C. Stennis,Democrat,100.0
1976,MO,False,NA,John C. Danforth,Republican,56.9
1976,MT,False,NA,John Melcher,Democrat,64.2
1976,NE,False,NA,Edward Zorinsky,Democrat,52.9
1976,NV,False,NA,Howard W. Cannon,Democrat,63.0
1976,NJ,False,NA,Harrison A. Williams Jr.,Democrat,60.7
1976,NM,False,NA,Harrison Jack Schmitt,Republican,56.8
1976,NY,False,NA,Daniel Patrick Moynihan,Democrat,48.6
1976,ND,False,NA,Quentin N. Burdick,Democrat,62.1
1976,OH,False,NA,Howard M. Metzenbaum,Democrat,49.5
1976,PA,False,NA,H. John Heinz III,Republican,52.4
1976,RI,False,NA,John H. Chafee,Republican,57.7
1976,TN,False,NA,James R. Sasser,Democrat,52.5
1976,TX,False,NA,Lloyd Bentsen,Democrat,56.8
1976,UT,False,NA,Orrin G. Hatch,Republican,55.6
1976,VT,False,NA,Robert T. Stafford,Republican,50.0
1976,VA,False,NA,Harry F. Byrd Jr.,Independent,57.2
1976,WA,False,NA,Henry M. Jackson,Democrat,71.8
1976,WV,False,NA,Robert C. Byrd,Democrat,100.0
1976,WI,False,NA,William Proxmire,Democrat,72.2
1976,WY,False,NA,Malcolm Wallop,Republican,54.6
1978,AL,False,NA,Howell Heflin,Democrat,94.0
1978,AL,True,NA,Donald Stewart,Democrat,55.1
1978,AK,False,NA,Ted Stevens,Republican,75.6
1978,AR,False,NA,David Pryor,Democrat,76.5
1978,CO,False,NA,William L. Armstrong,Republican,58.7
1978,DE,False,NA,Joseph R. Biden Jr.,Democrat,58.0
1978,GA,False,NA,Sam Nunn,Democrat,83.1
1978,ID,False,NA,James A. McClure,Republican,68.4
1978,IL,False,NA,Charles H. Perey,Republican,53.3
1978,IA,False,NA,Roger W. Jepsen,Republican,51.1
1978,KS,False,NA,Nancy Landon Kassebaum,Republican,53.9
1978,KY,False,NA,Walter D. Huddleston,Democrat,61.0
1978,LA,False,NA,J. Bennett Johnston Jr. ,Democrat,100.0
1978,ME,False,NA,William S. Cohen,Republican,56.6
1978,MA,False,NA,Paul E. Tsongas,Democrat,55.1
1978,MI,False,NA,Carl Levin,Democrat,52.1
1978,MN,False,NA,Rudolph E. Boschwitz,Republican,56.6
1978,MN,True,NA,David Durenberger,Republican,61.5
1978,MS,False,NA,Thad Cochran,Republican,45.3
1978,MT,False,NA,Max Baucus,Democrat,55.7
