year,district,winner_name,cook_rating,dem,repub,other,winner
2002,AL-01,Jo Bonner,NA,37.8,60.5,1.7,r
2002,AL-02,Terry Everett,NA,29.5,68.8,1.7,r
2002,AL-03,Mike D. Rogers,NA,48.2,50.3,1.5,r
2002,AL-04,Robert Aderholt,NA,0.0,86.7,13.3,r
2002,AL-05,Robert E. Cramer,NA,73.3,24.7,2.0,d
2002,AL-06,Spencer Bachus,NA,0.0,89.8,10.2,r
2002,AL-07,Artur Davis,NA,92.4,0.0,7.6,d
2002,AK-01,Don Young,NA,17.3,74.5,8.2,r
2002,AZ-01,Rick Renzi,NA,45.6,49.2,5.2,r
2002,AZ-02,Trent Franks,NA,36.6,59.9,3.5,r
2002,AZ-03,John Shadegg,NA,30.3,67.3,2.4,r
2002,AZ-04,Ed Pastor,NA,67.4,27.8,4.8,d
2002,AZ-05,J. D. Hayworth,NA,36.3,61.2,2.5,r
2002,AZ-06,Jeff Flake,NA,31.6,65.9,2.5,r
2002,AZ-07,Raúl Grijalva,NA,59.0,37.1,3.9,d
2002,AZ-08,Jim Kolbe,NA,33.6,63.3,3.1,r
2002,AR-01,Robert Marion Berry,NA,66.8,33.2,0.0,d
2002,AR-02,Vic Snyder,NA,92.9,0.0,7.1,d
2002,AR-03,John Boozman,NA,0.0,98.9,1.1,r
2002,AR-04,Mike Ross,NA,60.6,39.4,0.0,d
2002,CA-01,Mike Thompson,NA,64.1,32.4,3.5,d
2002,CA-02,Wally Herger,NA,29.3,65.8,4.9,r
2002,CA-03,Doug Ose,NA,34.4,62.5,3.1,r
2002,CA-04,John Doolittle,NA,31.9,64.8,3.3,r
2002,CA-05,Bob Matsui,NA,71.5,26.4,2.1,d
2002,CA-06,Lynn Woolsey,NA,66.7,29.6,3.7,d
2002,CA-07,George Miller,NA,70.7,26.4,2.9,d
2002,CA-08,Nancy Pelosi,NA,79.6,12.5,7.9,d
2002,CA-09,Barbara Lee,NA,81.4,15.2,3.4,d
2002,CA-10,Ellen Tauscher,NA,75.6,0.0,24.4,d
2002,CA-11,Richard Pombo,NA,39.7,60.3,0.0,r
2002,CA-12,Tom Lantos,NA,68.1,24.8,7.1,d
2002,CA-13,Pete Stark,NA,71.1,22.1,6.9,d
2002,CA-14,Anna Eshoo,NA,68.2,28.2,3.7,d
2002,CA-15,Mike Honda,NA,65.8,31.0,3.2,d
2002,CA-16,Zoe Lofgren,NA,67.0,29.8,3.2,d
2002,CA-17,Sam Farr,NA,68.1,27.0,4.9,d
2002,CA-18,Dennis Cardoza,NA,51.3,43.4,5.4,d
2002,CA-19,George Radanovich,NA,30.0,67.3,2.6,r
2002,CA-20,Cal Dooley,NA,63.7,34.3,2.0,d
2002,CA-21,Devin Nunes,NA,26.2,70.5,3.3,r
2002,CA-22,Bill Thomas,NA,23.7,73.3,2.9,r
2002,CA-23,Lois Capps,NA,59.0,38.6,2.4,d
2002,CA-24,Elton Gallegly,NA,31.8,65.2,3.1,r
2002,CA-25,Buck McKeon,NA,31.1,65.0,3.9,r
2002,CA-26,David Dreier,NA,33.5,63.8,2.7,r
2002,CA-27,Brad Sherman,NA,62.0,38.0,0.0,d
2002,CA-28,Howard Berman,NA,71.4,23.2,5.4,d
2002,CA-29,Adam Schiff,NA,62.6,33.4,4.0,d
2002,CA-30,Henry Waxman,NA,70.4,29.6,0.0,d
2002,CA-31,Xavier Becerra,NA,81.2,18.9,0.0,d
2002,CA-32,Hilda Solis,NA,68.8,27.5,3.7,d
2002,CA-33,Diane Watson,NA,82.5,14.1,3.4,d
2002,CA-34,Lucille Roybal-Allard,NA,74.0,26.0,0.0,d
2002,CA-35,Maxine Waters,NA,77.5,19.4,3.1,d
2002,CA-36,Jane Harman,NA,61.4,35.0,3.6,d
2002,CA-37,Juanita Millender-McDonald,NA,72.9,23.2,3.9,d
2002,CA-38,Grace Napolitano,NA,71.1,26.3,2.6,d
2002,CA-39,Linda Sánchez,NA,54.8,40.8,4.4,d
2002,CA-40,Ed Royce,NA,29.5,67.6,2.9,r
2002,CA-41,Jerry Lewis,NA,29.6,67.4,3.0,r
2002,CA-42,Gary Miller,NA,29.0,67.8,3.2,r
2002,CA-43,Joe Baca,NA,66.4,30.5,3.1,d
2002,CA-44,Ken Calvert,NA,31.6,63.7,4.8,r
2002,CA-45,Mary Bono Mack,NA,32.7,65.2,2.0,r
2002,CA-46,Dana Rohrabacher,NA,34.5,61.7,3.7,r
2002,CA-47,Loretta Sanchez,NA,60.6,34.7,4.8,d
2002,CA-48,Christopher Cox,NA,28.4,68.4,3.1,r
2002,CA-49,Darrell Issa,NA,0.0,77.2,22.8,r
2002,CA-50,Duke Cunningham,NA,32.3,64.3,3.3,r
2002,CA-51,Bob Filner,NA,57.9,39.3,2.7,d
2002,CA-52,Duncan L. Hunter,NA,25.8,70.2,4.1,r
2002,CA-53,Susan Davis,NA,62.2,37.8,0.0,d
2002,CO-01,Diana DeGette,NA,66.3,29.6,4.1,d
2002,CO-02,Mark Udall,NA,60.1,36.8,3.1,d
2002,CO-03,Scott McInnis,NA,31.3,65.8,2.9,r
2002,CO-04,Marilyn Musgrave,NA,41.7,54.9,3.4,r
2002,CO-05,Joel Hefley,NA,24.7,69.4,5.9,r
2002,CO-06,Tom Tancredo,NA,30.0,66.9,3.1,r
2002,CO-07,Bob Beauprez,NA,47.2,47.3,5.4,r
2002,CT-01,John B. Larson,NA,66.8,33.2,0.0,d
2002,CT-02,Rob Simmons,NA,45.9,54.1,0.0,r
2002,CT-03,Rosa DeLauro,NA,65.6,29.5,4.9,d
2002,CT-04,Chris Shays,NA,35.6,64.4,0.0,r
2002,CT-05,Nancy Johnson,NA,43.3,54.2,2.5,r
2002,DE-01,Mike Castle,NA,26.7,72.1,1.2,r
2002,FL-01,Jeff Miller,NA,25.4,74.6,0.0,r
2002,FL-02,Allen Boyd,NA,66.9,33.1,0.0,d
2002,FL-03,Corrine Brown,NA,59.3,40.7,0.0,d
2002,FL-04,Ander Crenshaw,NA,0.0,100.0,0.0,r
2002,FL-05,Ginny Brown-Waite,NA,46.2,47.9,5.9,r
2002,FL-06,Cliff Stearns,NA,34.6,65.4,0.0,r
2002,FL-07,John Mica,NA,40.4,59.6,0.0,r
2002,FL-08,Ric Keller,NA,34.9,65.1,0.0,r
2002,FL-09,Michael Bilirakis,NA,28.5,71.5,0.0,r
2002,FL-10,Bill Young,NA,0.0,100.0,0.0,r
2002,FL-11,Jim Davis,NA,100.0,0.0,0.0,d
2002,FL-12,Adam Putnam,NA,0.0,100.0,0.0,r
2002,FL-13,Katherine Harris,NA,45.2,54.8,0.0,r
2002,FL-14,Porter Goss,NA,0.0,100.0,0.0,r
2002,FL-15,Dave Weldon,NA,36.9,63.1,0.0,r
2002,FL-16,Mark Foley,NA,0.0,78.9,21.1,r
2002,FL-17,Kendrick Meek,NA,100.0,0.0,0.0,d
2002,FL-18,Ileana Ros-Lehtinen,NA,28.6,69.1,2.3,r
2002,FL-19,Robert Wexler,NA,72.2,27.8,0.0,d
2002,FL-20,Peter Deutsch,NA,100.0,0.0,0.0,d
2002,FL-21,Lincoln Diaz-Balart,NA,0.0,100.0,0.0,r
2002,FL-22,E. Clay Shaw Jr.,NA,38.4,60.8,0.9,r
2002,FL-23,Alcee Hastings,NA,77.5,22.5,0.0,d
2002,FL-24,Tom Feeney,NA,38.2,61.8,0.0,r
2002,FL-25,Mario Diaz-Balart,NA,35.4,64.7,0.0,r
2002,GA-01,Jack Kingston,NA,27.9,72.1,0.0,r
2002,GA-02,Sanford Bishop,NA,100.0,0.0,0.0,d
2002,GA-03,Jim Marshall,NA,50.5,49.5,0.0,d
2002,GA-04,Denise Majette,NA,77.0,23.0,0.0,d
2002,GA-05,John Lewis,NA,100.0,0.0,0.0,d
2002,GA-06,Johnny Isakson,NA,20.1,79.9,0.0,r
2002,GA-07,John Linder,NA,21.1,78.9,0.0,r
2002,GA-08,Mac Collins,NA,21.7,78.3,0.0,r
2002,GA-09,Charlie Norwood,NA,27.2,72.8,0.0,r
2002,GA-10,Nathan Deal,NA,0.0,100.0,0.0,r
2002,GA-11,Phil Gingrey,NA,48.4,51.6,0.0,r
2002,GA-12,Max Burns,NA,44.8,55.2,0.0,r
2002,GA-13,David Scott,NA,59.6,40.4,0.0,d
2002,HI-01,Neil Abercrombie,NA,72.8,24.9,2.2,d
2002,HI-02,Patsy Mink,NA,56.2,40.0,3.9,d
2002,ID-01,Butch Otter,NA,38.9,58.6,2.5,r
2002,ID-02,Mike Simpson,NA,29.1,68.2,2.8,r
2002,IL-01,Bobby Rush,NA,81.2,16.2,2.6,d
2002,IL-02,Jesse Jackson Jr.,NA,82.3,17.7,0.0,d
2002,IL-03,Bill Lipinski,NA,100.0,0.0,0.0,d
2002,IL-04,Luis Gutierrez,NA,79.7,15.1,5.2,d
2002,IL-05,Rahm Emanuel,NA,66.8,28.9,4.3,d
2002,IL-06,Henry Hyde,NA,34.9,65.1,0.0,r
2002,IL-07,Danny K. Davis,NA,83.2,15.2,1.5,d
2002,IL-08,Phil Crane,NA,42.6,57.4,0.0,r
2002,IL-09,Jan Schakowsky,NA,70.3,26.8,2.9,d
2002,IL-10,Mark Kirk,NA,31.2,68.8,0.0,r
2002,IL-11,Jerry Weller,NA,35.7,64.3,0.0,r
2002,IL-12,Jerry Costello,NA,69.2,30.8,0.0,d
2002,IL-13,Judy Biggert,NA,29.7,70.3,0.0,r
2002,IL-14,Dennis Hastert,NA,25.9,74.1,0.0,r
2002,IL-15,Tim Johnson,NA,31.0,65.2,3.8,r
2002,IL-16,Don Manzullo,NA,29.4,70.6,0.0,r
2002,IL-17,Lane Evans,NA,62.4,37.6,0.0,d
2002,IL-18,Ray LaHood,NA,0.0,100.0,0.0,r
2002,IL-19,John Shimkus,NA,45.2,54.8,0.0,r
2002,IN-01,Pete Visclosky,NA,66.9,31.0,2.0,d
2002,IN-02,Chris Chocola,NA,45.8,50.5,3.8,r
2002,IN-03,Mark Souder,NA,34.5,63.1,2.4,r
2002,IN-04,Steve Buyer,NA,26.1,71.4,2.5,r
2002,IN-05,Dan Burton,NA,25.2,72.0,2.9,r
2002,IN-06,Mike Pence,NA,34.4,63.8,1.8,r
2002,IN-07,Julia Carson,NA,53.1,44.1,2.7,d
2002,IN-08,John Hostettler,NA,46.0,51.3,2.7,r
2002,IN-09,Baron Hill,NA,51.1,46.1,2.7,d
2002,IA-01,Jim Nussle,NA,42.6,57.1,0.2,r
2002,IA-02,Jim Leach,NA,45.7,52.2,2.1,r
2002,IA-03,Leonard Boswell,NA,53.4,45.0,1.6,d
2002,IA-04,Tom Latham,NA,43.1,54.8,2.2,r
2002,IA-05,Steve King,NA,37.8,62.1,0.1,r
2002,KS-01,Jerry Moran,NA,0.0,91.1,8.9,r
2002,KS-02,Jim Ryun,NA,37.5,60.4,2.1,r
2002,KS-03,Dennis Moore,NA,50.2,46.9,2.9,d
2002,KS-04,Todd Tiahrt,NA,37.0,60.6,2.4,r
2002,KY-01,Ed Whitfield,NA,34.8,62.2,3.0,r
2002,KY-02,Ron Lewis,NA,29.2,69.6,1.2,r
2002,KY-03,Anne Northup,NA,48.4,51.6,0.0,r
2002,KY-04,Ken Lucas,NA,51.1,47.5,1.4,d
2002,KY-05,Hal Rogers,NA,21.7,78.3,0.0,r
2002,KY-06,Ernie Fletcher,NA,0.0,72.0,28.0,r
2002,LA-01,David Vitter,NA,0.0,81.5,18.5,r
2002,LA-02,William J. Jefferson,NA,63.5,10.9,25.6,d
2002,LA-03,Billy Tauzin,NA,0.0,86.7,13.3,r
2002,LA-04,Jim McCrery,NA,26.4,71.6,1.9,r
2002,LA-05,Rodney Alexander,NA,50.3,49.7,0.0,d
2002,LA-06,Richard Baker,NA,0.0,84.0,16.0,r
2002,LA-07,Chris John,NA,86.8,0.0,13.2,d
2002,ME-01,Tom Allen,NA,63.8,36.2,0.0,d
2002,ME-02,Mike Michaud,NA,52.0,48.0,0.0,d
2002,MD-01,Wayne Gilchrest,NA,23.2,76.7,0.2,r
2002,MD-02,Dutch Ruppersberger,NA,54.2,45.6,0.3,d
2002,MD-03,Ben Cardin,NA,65.7,34.2,0.1,d
2002,MD-04,Albert Wynn,NA,78.6,20.8,0.6,d
2002,MD-05,Steny Hoyer,NA,69.3,30.5,0.2,d
2002,MD-06,Roscoe Bartlett,NA,33.8,66.1,0.1,r
2002,MD-07,Elijah Cummings,NA,73.5,26.4,0.1,d
2002,MD-08,Chris Van Hollen,NA,51.7,47.5,0.8,d
2002,MA-01,John Olver,NA,67.6,32.4,0.1,d
2002,MA-02,Richard Neal,NA,100.0,0.0,0.0,d
2002,MA-03,Jim McGovern,NA,100.0,0.0,0.0,d
2002,MA-04,Barney Frank,NA,100.0,0.0,0.0,d
2002,MA-05,Marty Meehan,NA,60.1,34.0,5.8,d
2002,MA-06,John F. Tierney,NA,68.3,31.6,0.1,d
2002,MA-07,Ed Markey,NA,100.0,0.0,0.0,d
2002,MA-08,Mike Capuano,NA,100.0,0.0,0.0,d
2002,MA-09,Stephen F. Lynch,NA,100.0,0.0,0.0,d
