Source,Country,Type,Prod_t_2020,Prod_t_Est_2021
MCS2022,United States,Mine production,0,0
MCS2022,Australia,Mine production,3900,3400
MCS2022,Bolivia,Mine production,2600,2700
MCS2022,Burma,Mine production,2200,2000
MCS2022,Canada,Mine production,2,2
MCS2022,China,Mine production,61000,60000
MCS2022,Guatemala,Mine production,80,80
MCS2022,Iran,Mine production,400,400
MCS2022,Kazakhstan,Mine production,100,100
MCS2022,Kyrgyzstan,Mine production,0,0
MCS2022,Mexico,Mine production,700,700
MCS2022,Pakistan,Mine production,17,20
MCS2022,Russia (recoverable),Mine production,25000,25000
MCS2022,Tajikistan,Mine production,13000,13000
MCS2022,Turkey,Mine production,1330,1300
MCS2022,Vietnam,Mine production,390,400
MCS2022,World total (rounded),Mine production,111000,110000
