Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production,W,W
MCS2022,China,Mine production,"2,800","2,800"
MCS2022,India,Mine production,"1,600","1,600"
MCS2022,Iran,Mine production,202,200
MCS2022,Kazakhstan,Mine production,445,450
MCS2022,Laos,Mine production,180,110
MCS2022,Mexico,Mine production,323,320
MCS2022,Morocco,Mine production,410,"1,100"
MCS2022,Pakistan,Mine production,86,50
MCS2022,Russia,Mine production,287,150
MCS2022,Turkey,Mine production,180,180
MCS2022,Other countries,Mine production,329,370
MCS2022,World total (rounded),"Mine production, excluding U.S.","6,840","7,300"
