Source,Country,Type,Prod_t_est_2020,Prod_t_est_2021
MCS2022,United States,Mine production,0,0
MCS2022,Bolivia,Mine production,30,60
MCS2022,Bulgaria,Mine production,50,50
MCS2022,Canada,Mine production,35,30
MCS2022,China,Mine production,16000,16000
MCS2022,Japan,Mine production,570,600
MCS2022,Kazakhstan,Mine production,230,240
MCS2022,"Korea, Republic of",Mine production,970,1000
MCS2022,Laos,Mine production,1000,1000
MCS2022,Mexico,Mine production,10,10
MCS2022,World total (rounded),Mine production,18900,19000
