Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,"Bentonite, mine production",4240,4300
MCS2022,Brazil (beneficiated),"Bentonite, mine production",217,200
MCS2022,China,"Bentonite, mine production",2500,2500
MCS2022,Czechia,"Bentonite, mine production",226,230
MCS2022,Germany,"Bentonite, mine production",360,350
MCS2022,Greece,"Bentonite, mine production",1300,1300
MCS2022,India,"Bentonite, mine production",3500,3500
MCS2022,Iran,"Bentonite, mine production",425,420
MCS2022,Mexico,"Bentonite, mine production",25,20
MCS2022,Senegal,"Bentonite, mine production",0,0
MCS2022,Spain,"Bentonite, mine production",221,220
MCS2022,Turkey,"Bentonite, mine production",1500,1700
MCS2022,Ukraine,"Bentonite, mine production",180,180
MCS2022,Uzbekistan,"Bentonite, mine production",25,20
MCS2022,Other countries,"Bentonite, mine production",3480,3500
MCS2022,World total (rounded),"Bentonite, mine production",18200,18000
MCS2022,United States,"Fuller's earth, mine production",1980,2000
MCS2022,Brazil (beneficiated),"Fuller's earth, mine production",0,0
MCS2022,China,"Fuller's earth, mine production",0,0
MCS2022,Czechia,"Fuller's earth, mine production",0,0
MCS2022,Germany,"Fuller's earth, mine production",0,0
MCS2022,Greece,"Fuller's earth, mine production",34,30
MCS2022,India,"Fuller's earth, mine production",730,730
MCS2022,Iran,"Fuller's earth, mine production",0,0
MCS2022,Mexico,"Fuller's earth, mine production",110,110
MCS2022,Senegal,"Fuller's earth, mine production",117,120
MCS2022,Spain,"Fuller's earth, mine production",590,590
MCS2022,Turkey,"Fuller's earth, mine production",60,60
MCS2022,Ukraine,"Fuller's earth, mine production",0,0
MCS2022,Uzbekistan,"Fuller's earth, mine production",0,0
MCS2022,Other countries,"Fuller's earth, mine production",313,310
MCS2022,World total (rounded),"Fuller's earth, mine production",3930,4000
MCS2022,United States,"Kaolin, mine production",4570,4100
MCS2022,Brazil (beneficiated),"Kaolin, mine production",1240,1200
MCS2022,China,"Kaolin, mine production",6500,6400
MCS2022,Czechia,"Kaolin, mine production",3070,3100
MCS2022,Germany,"Kaolin, mine production",870,800
MCS2022,Greece,"Kaolin, mine production",0,0
MCS2022,India,"Kaolin, mine production",7600,7600
MCS2022,Iran,"Kaolin, mine production",1800,1800
MCS2022,Mexico,"Kaolin, mine production",120,120
MCS2022,Senegal,"Kaolin, mine production",0,0
MCS2022,Spain,"Kaolin, mine production",450,450
MCS2022,Turkey,"Kaolin, mine production",1200,1200
MCS2022,Ukraine,"Kaolin, mine production",1680,1600
MCS2022,Uzbekistan,"Kaolin, mine production",5900,5500
MCS2022,Other countries,"Kaolin, mine production",11400,11000
MCS2022,World total (rounded),"Kaolin, mine production",46400,45000
