Source,Country,Type,Prod_t_2020,Prod_t_Est_2021
MCS2022,United States,"Mine production, contained cobalt",600,700
MCS2022,Australia,"Mine production, contained cobalt",5630,5600
MCS2022,Canada,"Mine production, contained cobalt",3690,4300
MCS2022,China,"Mine production, contained cobalt",2200,2200
MCS2022,Congo (Kinshasa),"Mine production, contained cobalt",98000,120000
MCS2022,Cuba,"Mine production, contained cobalt",3800,3900
MCS2022,Indonesia,"Mine production, contained cobalt",1100,2100
MCS2022,Madagascar,"Mine production, contained cobalt",850,2500
MCS2022,Morocco,"Mine production, contained cobalt",2300,2300
MCS2022,Papua New Guinea,"Mine production, contained cobalt",2940,3000
MCS2022,Philippines,"Mine production, contained cobalt",4500,4500
MCS2022,Russia,"Mine production, contained cobalt",9000,7600
MCS2022,Other countries,"Mine production, contained cobalt",7640,6600
MCS2022,World total (rounded),"Mine production, contained cobalt",142000,170000
