Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,"Mine production, contained copper",1200,1200
MCS2022,Australia,"Mine production, contained copper",885,900
MCS2022,Canada,"Mine production, contained copper",585,590
MCS2022,Chile,"Mine production, contained copper",5730,5600
MCS2022,China,"Mine production, contained copper",1720,1800
MCS2022,Congo (Kinshasa),"Mine production, contained copper",1600,1800
MCS2022,Germany,"Mine production, contained copper",0,0
MCS2022,Indonesia,"Mine production, contained copper",505,810
MCS2022,Japan,"Mine production, contained copper",0,0
MCS2022,Kazakhstan,"Mine production, contained copper",552,520
MCS2022,"Korea, Republic of","Mine production, contained copper",0,0
MCS2022,Mexico,"Mine production, contained copper",733,720
MCS2022,Peru,"Mine production, contained copper",2150,2200
MCS2022,Poland,"Mine production, contained copper",393,390
MCS2022,Russia,"Mine production, contained copper",810,820
MCS2022,Zambia,"Mine production, contained copper",853,830
MCS2022,Other countries,"Mine production, contained copper",2840,2800
MCS2022,World total (rounded),"Mine production, contained copper",20600,21000
MCS2022,United States,Refinery production,918,1000
MCS2022,Australia,Refinery production,427,450
MCS2022,Canada,Refinery production,290,300
MCS2022,Chile,Refinery production,2330,2200
MCS2022,China,Refinery production,10000,10000
MCS2022,Congo (Kinshasa),Refinery production,1350,1500
MCS2022,Germany,Refinery production,643,630
MCS2022,Indonesia,Refinery production,269,270
MCS2022,Japan,Refinery production,1580,1500
MCS2022,Kazakhstan,Refinery production,515,470
MCS2022,"Korea, Republic of",Refinery production,671,650
MCS2022,Mexico,Refinery production,492,470
MCS2022,Peru,Refinery production,324,350
MCS2022,Poland,Refinery production,560,590
MCS2022,Russia,Refinery production,1040,920
MCS2022,Zambia,Refinery production,378,350
MCS2022,Other countries,Refinery production,3450,4300
MCS2022,World total (rounded),Refinery production,25300,26000
