Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production,822,830
MCS2022,Argentina,Mine production,94,90
MCS2022,China,Mine production,140,140
MCS2022,Denmark (processed),Mine production,400,400
MCS2022,France,Mine production,75,75
MCS2022,Germany,Mine production,52,50
MCS2022,Japan,Mine production,40,40
MCS2022,"Korea, Republic of",Mine production,26,50
MCS2022,Mexico,Mine production,96,100
MCS2022,New Zealand,Mine production,40,40
MCS2022,Peru,Mine production,91,90
MCS2022,Russia,Mine production,51,50
MCS2022,Spain,Mine production,50,50
MCS2022,Turkey,Mine production,220,200
MCS2022,Other countries,Mine production,120,120
MCS2022,World total (rounded),Mine production,2320,2300
