Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production - Usable ore,38100,46000
MCS2022,Australia,Mine production - Usable ore,912000,900000
MCS2022,Brazil,Mine production - Usable ore,388000,380000
MCS2022,Canada,Mine production - Usable ore,60100,68000
MCS2022,Chile,Mine production - Usable ore,15600,19000
MCS2022,China,Mine production - Usable ore,360000,360000
MCS2022,India,Mine production - Usable ore,204000,240000
MCS2022,Iran,Mine production - Usable ore,49500,50000
MCS2022,Kazakhstan,Mine production - Usable ore,62900,64000
MCS2022,Mexico,Mine production - Usable ore,14900,17000
MCS2022,Peru,Mine production - Usable ore,13300,16000
MCS2022,Russia,Mine production - Usable ore,100000,100000
MCS2022,South Africa,Mine production - Usable ore,55600,61000
MCS2022,Sweden,Mine production - Usable ore,35800,40000
MCS2022,Turkey,Mine production - Usable ore,15400,16000
MCS2022,Ukraine,Mine production - Usable ore,78800,81000
MCS2022,Other countries,Mine production - Usable ore,69500,90000
MCS2022,World total (rounded),Mine production - Usable ore,2470000,2600000
MCS2022,United States,Mine production - Iron content,24100,29000
MCS2022,Australia,Mine production - Iron content,565000,560000
MCS2022,Brazil,Mine production - Iron content,247000,240000
MCS2022,Canada,Mine production - Iron content,36100,41000
MCS2022,Chile,Mine production - Iron content,9890,12000
MCS2022,China,Mine production - Iron content,225000,220000
MCS2022,India,Mine production - Iron content,127000,150000
MCS2022,Iran,Mine production - Iron content,32500,33000
MCS2022,Kazakhstan,Mine production - Iron content,12700,13000
MCS2022,Mexico,Mine production - Iron content,9380,11000
MCS2022,Peru,Mine production - Iron content,8890,11000
MCS2022,Russia,Mine production - Iron content,69500,71000
MCS2022,South Africa,Mine production - Iron content,35400,39000
MCS2022,Sweden,Mine production - Iron content,25400,28000
MCS2022,Turkey,Mine production - Iron content,8570,8900
MCS2022,Ukraine,Mine production - Iron content,49300,51000
MCS2022,Other countries,Mine production - Iron content,40000,58000
MCS2022,World total (rounded),Mine production - Iron content,1520000,1600000
