Source,Country,Type,Prod_mmt_2020,Prod_mmt_Est_2021
MCS2022,United States,Pig iron,18,22
MCS2022,Brazil,Pig iron,25,30
MCS2022,China,Pig iron,888,880
MCS2022,Germany,Pig iron,22,25
MCS2022,India,Pig iron,68,79
MCS2022,Iran,Pig iron,3,3
MCS2022,Italy,Pig iron,3,4
MCS2022,Japan,Pig iron,62,68
MCS2022,"Korea, Republic of",Pig iron,45,50
MCS2022,Mexico,Pig iron,2,3
MCS2022,Russia,Pig iron,52,53
MCS2022,Taiwan,Pig iron,13,14
MCS2022,Turkey,Pig iron,10,12
MCS2022,Ukraine,Pig iron,20,21
MCS2022,Vietnam,Pig iron,10,10
MCS2022,Other countries,Pig iron,71,99
MCS2022,World total (rounded),Pig iron,1310,1400
MCS2022,United States,Raw steel,73,87
MCS2022,Brazil,Raw steel,31,39
MCS2022,China,Raw steel,1060,1100
MCS2022,Germany,Raw steel,40,44
MCS2022,India,Raw steel,100,120
MCS2022,Iran,Raw steel,29,30
MCS2022,Italy,Raw steel,20,23
MCS2022,Japan,Raw steel,83,92
MCS2022,"Korea, Republic of",Raw steel,67,73
MCS2022,Mexico,Raw steel,17,19
MCS2022,Russia,Raw steel,72,73
MCS2022,Taiwan,Raw steel,21,21
MCS2022,Turkey,Raw steel,36,42
MCS2022,Ukraine,Raw steel,21,21
MCS2022,Vietnam,Raw steel,17,17
MCS2022,Other countries,Raw steel,108,120
MCS2022,World total (rounded),Raw steel,1790,1900
