Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production,NA,NA
MCS2022,Canada,Mine production,100,140
MCS2022,China,Mine production,5400,5400
MCS2022,Germany,Mine production,80,80
MCS2022,Iran,Mine production,56,56
MCS2022,Kazakhstan,Mine production,77,77
MCS2022,Mexico,Mine production,915,990
MCS2022,Mongolia,Mine production,685,800
MCS2022,Morocco,Mine production,82,80
MCS2022,Pakistan,Mine production,55,70
MCS2022,South Africa,Mine production,330,420
MCS2022,Spain,Mine production,131,130
MCS2022,Vietnam,Mine production,220,220
MCS2022,Other countries,Mine production,110,110
MCS2022,World total (rounded),Mine production,8240,8600
