Source,Country,Type,Prod_t_2020,Prod_t_Est_2021
MCS2022,United States,Mine production,193,180
MCS2022,Argentina,Mine production,59,60
MCS2022,Australia,Mine production,328,330
MCS2022,Brazil,Mine production,78,80
MCS2022,Burkina Faso,Mine production,58,60
MCS2022,Canada,Mine production,170,170
MCS2022,China,Mine production,365,370
MCS2022,Colombia,Mine production,48,50
MCS2022,Ghana,Mine production,125,130
MCS2022,Indonesia,Mine production,86,90
MCS2022,Kazakhstan,Mine production,63,60
MCS2022,Mexico,Mine production,102,100
MCS2022,Papua New Guinea,Mine production,54,50
MCS2022,Peru,Mine production,87,90
MCS2022,Russia,Mine production,305,300
MCS2022,South Africa,Mine production,96,100
MCS2022,Sudan,Mine production,90,90
MCS2022,Tanzania,Mine production,47,50
MCS2022,Uzbekistan,Mine production,101,100
MCS2022,Other countries,Mine production,572,570
MCS2022,World total (rounded),Mine production,3030,3000
