Source,Country,Type,Prod_t_2020,Prod_t_Est_2021
MCS2022,United States,Mine production,0,0
MCS2022,Austria,Mine production,500,500
MCS2022,Brazil,Mine production,"63,600","68,000"
MCS2022,Canada,Mine production,"8,000","8,600"
MCS2022,China,Mine production,"762,000","820,000"
MCS2022,Germany,Mine production,300,300
MCS2022,India,Mine production,"6,000","6,500"
MCS2022,"Korea, North",Mine production,"8,100","8,700"
MCS2022,Madagascar,Mine production,"20,900","22,000"
MCS2022,Mexico,Mine production,"3,300","3,500"
MCS2022,Mozambique,Mine production,"28,000","30,000"
MCS2022,Norway,Mine production,"12,000","13,000"
MCS2022,Russia,Mine production,"25,000","27,000"
MCS2022,Sri Lanka,Mine production,"4,000","4,300"
MCS2022,Tanzania,Mine production,0,150
MCS2022,Turkey,Mine production,"2,500","2,700"
MCS2022,Ukraine,Mine production,"16,000","17,000"
MCS2022,Uzbekistan,Mine production,100,110
MCS2022,Vietnam,Mine production,"5,000","5,400"
MCS2022,World total (rounded),Mine production,"966,000","1,000,000"
