Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production,21200,23000
MCS2022,Algeria,Mine production,2500,2500
MCS2022,Brazil,Mine production,2000,2000
MCS2022,Canada,Mine production,2400,2900
MCS2022,China,Mine production,12600,13000
MCS2022,France,Mine production,1890,1900
MCS2022,Germany,Mine production,4500,4500
MCS2022,India,Mine production,1500,1500
MCS2022,Iran,Mine production,16000,16000
MCS2022,Japan,Mine production,4300,4300
MCS2022,Mexico,Mine production,5400,5400
MCS2022,Oman,Mine production,10200,10000
MCS2022,Pakistan,Mine production,2210,2200
MCS2022,Russia,Mine production,4200,4200
MCS2022,Saudi Arabia,Mine production,3300,3300
MCS2022,Spain,Mine production,11000,11000
MCS2022,Thailand,Mine production,9800,9800
MCS2022,Turkey,Mine production,7500,9300
MCS2022,Other countries,Mine production,21700,22000
MCS2022,World total (rounded),Mine production,144000,150000
