Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,Plant production,15800,17000
MCS2022,Australia,Plant production,1980,2000
MCS2022,Belgium8,Plant production,1500,1500
MCS2022,Brazil,Plant production,8000,8100
MCS2022,Bulgaria,Plant production,1280,1400
MCS2022,Canada (shipments),Plant production,2060,2000
MCS2022,China,Plant production,310000,310000
MCS2022,France,Plant production,2600,2600
MCS2022,Germany,Plant production,7100,7100
MCS2022,India,Plant production,15000,16000
MCS2022,Iran,Plant production,3600,3600
MCS2022,Italy8,Plant production,3400,3500
MCS2022,Japan (quicklime only),Plant production,5820,7000
MCS2022,"Korea, Republic of",Plant production,5100,5200
MCS2022,Malaysia,Plant production,1480,1500
MCS2022,Poland (hydrated and quicklime),Plant production,1680,1700
MCS2022,Romania,Plant production,1280,1500
MCS2022,Russia (industrial and construction),Plant production,11400,11000
MCS2022,Slovenia,Plant production,1200,1200
MCS2022,South Africa,Plant production,1200,1200
MCS2022,Spain,Plant production,1700,1800
MCS2022,Turkey,Plant production,4700,4700
MCS2022,Ukraine,Plant production,2340,2300
MCS2022,United Kingdom,Plant production,1500,1500
MCS2022,Other countries,Plant production,15000,15000
MCS2022,World total (rounded),Plant production,427000,430000
