Source,Country,Type,Prod_kt_Est_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production,W,W
MCS2022,Australia,Mine production,700,770
MCS2022,Austria,Mine production,790,870
MCS2022,Brazil,Mine production,"1,800","2,000"
MCS2022,China,Mine production,"19,000","21,000"
MCS2022,Greece,Mine production,500,550
MCS2022,Russia,Mine production,"1,000","1,100"
MCS2022,Slovakia,Mine production,480,530
MCS2022,Spain,Mine production,650,720
MCS2022,Turkey,Mine production,"1,470","1,600"
MCS2022,Other countries,Mine production,920,1000
MCS2022,World total (rounded),Mine production,"27,000","30,000"
