Source,Country,Type,Prod_t_2020,Prod_t_Est_2021
MCS2022,United States,Mica mine production - scrap and flake,34600,43000
MCS2022,Canada,Mica mine production - scrap and flake,15000,15000
MCS2022,China,Mica mine production - scrap and flake,95000,95000
MCS2022,Finland,Mica mine production - scrap and flake,64900,65000
MCS2022,France,Mica mine production - scrap and flake,19000,19000
MCS2022,India,Mica mine production - scrap and flake,15000,15000
MCS2022,"Korea, Republic of",Mica mine production - scrap and flake,21000,22000
MCS2022,Madagascar,Mica mine production - scrap and flake,33000,35000
MCS2022,Turkey,Mica mine production - scrap and flake,4140,4000
MCS2022,Other countries,Mica mine production - scrap and flake,51000,50000
MCS2022,World total (rounded),Mica mine production - scrap and flake,353000,360000
MCS2022,United States,Mica mine production - sheet,W,NA
MCS2022,Canada,Mica mine production - sheet,NA,NA
MCS2022,China,Mica mine production - sheet,NA,NA
MCS2022,Finland,Mica mine production - sheet,NA,NA
MCS2022,France,Mica mine production - sheet,NA,NA
MCS2022,India,Mica mine production - sheet,1000,1000
MCS2022,"Korea, Republic of",Mica mine production - sheet,0,0
MCS2022,Madagascar,Mica mine production - sheet,0,0
MCS2022,Turkey,Mica mine production - sheet,0,0
MCS2022,Other countries,Mica mine production - sheet,200,200
MCS2022,World total (rounded),Mica mine production - sheet,NA,NA
