Source,Country,Type,Prod_t_2020,Prod_t_Est_2021
MCS2022,United States,Mine production,16700,18000
MCS2022,Australia,Mine production,169000,160000
MCS2022,Brazil,Mine production,77100,100000
MCS2022,Canada,Mine production,167000,130000
MCS2022,China,Mine production,120000,120000
MCS2022,Indonesia,Mine production,771000,1000000
MCS2022,New Caledonia (overseas territory of France),Mine production,200000,190000
MCS2022,Philippines,Mine production,334000,370000
MCS2022,Russia,Mine production,283000,250000
MCS2022,Other countries,Mine production,373000,410000
MCS2022,World total (rounded),Mine production,2510000,2700000
