Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production,444,420
MCS2022,Belarus,Mine production,2590,1900
MCS2022,Canada,Mine production,1400,1300
MCS2022,Estonia,Mine production,1060,1100
MCS2022,Finland,Mine production,12000,12000
MCS2022,Germany,Mine production,2300,2300
MCS2022,Ireland,Mine production,1300,—
MCS2022,Latvia,Mine production,2000,2100
MCS2022,Lithuania,Mine production,460,460
MCS2022,Poland,Mine production,900,900
MCS2022,Russia,Mine production,1000,1000
MCS2022,Sweden,Mine production,2400,2400
MCS2022,Ukraine,Mine production,680,330
MCS2022,Other countries,Mine production,350,350
MCS2022,World total (rounded),Mine production,28900,27000
