Source,Country,Type,Prod_kt_Est_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production,493,500
MCS2022,Argentina,Mine production,18,20
MCS2022,Armenia,Mine production,50,50
MCS2022,China,Mine production,1500,1500
MCS2022,Greece,Mine production,710,710
MCS2022,Hungary,Mine production,80,80
MCS2022,Iran,Mine production,72,70
MCS2022,Mexico,Mine production,20,20
MCS2022,New Zealand,Mine production,18,20
MCS2022,Slovakia,Mine production,32,30
MCS2022,Turkey,Mine production,1200,1200
MCS2022,Other countries,Mine production,30,30
MCS2022,World total (rounded),Mine production,4220,4200
