Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production,23500,22000
MCS2022,Algeria,Mine production,1200,1200
MCS2022,Australia,Mine production,2000,2200
MCS2022,Brazil,Mine production,6000,5500
MCS2022,China6,Mine production,88000,85000
MCS2022,Egypt,Mine production,4800,5000
MCS2022,Finland,Mine production,995,1000
MCS2022,India,Mine production,1400,1400
MCS2022,Israel,Mine production,3090,3000
MCS2022,Jordan,Mine production,8940,9200
MCS2022,Kazakhstan,Mine production,1300,1500
MCS2022,Mexico,Mine production,577,530
MCS2022,Morocco,Mine production,37400,38000
MCS2022,Peru,Mine production,3300,3800
MCS2022,Russia,Mine production,14000,14000
MCS2022,Saudi Arabia,Mine production,8000,8500
MCS2022,Senegal,Mine production,1600,2200
MCS2022,South Africa,Mine production,1800,2000
MCS2022,Togo,Mine production,942,1200
MCS2022,Tunisia,Mine production,3190,3200
MCS2022,Turkey,Mine production,600,600
MCS2022,Uzbekistan,Mine production,900,900
MCS2022,Vietnam,Mine production,4500,4700
MCS2022,Other countries,Mine production,870,1000
MCS2022,World total (rounded),Mine production,219000,220000
