Source,Country,Type,Prod_kt_2020,Prod_kt_est_2021
MCS2022,United States1,Mine production,460,480
MCS2022,Belarus,Mine production,7400,8000
MCS2022,Brazil,Mine production,254,210
MCS2022,Canada,Mine production,13800,14000
MCS2022,Chile,Mine production,900,900
MCS2022,China,Mine production,6000,6000
MCS2022,Germany,Mine production,2200,2300
MCS2022,Israel,Mine production,2280,2300
MCS2022,Jordan,Mine production,1590,1600
MCS2022,Laos,Mine production,270,300
MCS2022,Russia,Mine production,8110,9000
MCS2022,Spain,Mine production,420,400
MCS2022,Other countries,Mine production,360,370
MCS2022,World total (rounded),Mine production,44000,46000
