Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production,578,580
MCS2022,Algeria,Mine production,900,900
MCS2022,Cameroon,Mine production,300,110
MCS2022,Chile,Mine production,680,700
MCS2022,Ecuador,Mine production,800,800
MCS2022,Ethiopia,Mine production,510,500
MCS2022,France,Mine production,280,300
MCS2022,Greece,Mine production,1020,1000
MCS2022,Guadeloupe,Mine production,200,200
MCS2022,Guatemala,Mine production,570,600
MCS2022,Indonesia,Mine production,200,200
MCS2022,Jordan,Mine production,900,900
MCS2022,New Zealand,Mine production,220,220
MCS2022,Saudi Arabia,Mine production,560,560
MCS2022,Spain,Mine production,290,300
MCS2022,Syria,Mine production,200,200
MCS2022,Tanzania,Mine production,260,160
MCS2022,Turkey,Mine production,5400,7000
MCS2022,Uganda,Mine production,960,1100
MCS2022,Other countries,Mine production,570,570
MCS2022,World total (rounded),Mine production,15400,17000
