Source,Country,Type,Prod_kg_2020,Prod_kg_Est_2021
MCS2022,United States,Mine production,8830,9100
MCS2022,Armenia,Mine production,260,260
MCS2022,Chile,Mine production,30000,29000
MCS2022,China,Mine production,2500,2500
MCS2022,Kazakhstan,Mine production,500,1000
MCS2022,"Korea, Republic of",Mine production,2800,2800
MCS2022,Poland,Mine production,9510,9500
MCS2022,Russia,Mine production,NA,NA
MCS2022,Uzbekistan,Mine production,4900,4900
MCS2022,World total (rounded),Mine production,59300,59000
