Source,Country,Type,Prod_kt_Est_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production,41000,40000
MCS2022,Australia,Mine production,11000,12000
MCS2022,Brazil,Mine production,7400,7400
MCS2022,Canada,Mine production,10000,10000
MCS2022,Chile,Mine production,9570,10000
MCS2022,China,Mine production,63000,64000
MCS2022,Djibouti,Mine production,3100,3200
MCS2022,France,Mine production,5400,5400
MCS2022,Germany,Mine production,15300,15000
MCS2022,India,Mine production,29000,29000
MCS2022,Iran,Mine production,2600,2600
MCS2022,Italy,Mine production,1540,2000
MCS2022,Mexico,Mine production,9000,9000
MCS2022,Netherlands,Mine production,6000,6200
MCS2022,Pakistan,Mine production,3750,4000
MCS2022,Poland,Mine production,3780,4000
MCS2022,Russia,Mine production,8100,8000
MCS2022,Saudi Arabia,Mine production,2640,2700
MCS2022,Spain,Mine production,4200,4200
MCS2022,Turkey,Mine production,6900,6900
MCS2022,Ukraine,Mine production,2000,2000
MCS2022,United Kingdom,Mine production,4700,4700
MCS2022,Other countries,Mine production,30000,33000
MCS2022,World total (rounded),Mine production,280000,290000
