Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production,70000,72000
MCS2022,Argentina,Mine production,2500,3500
MCS2022,Australia,Mine production,3000,3500
MCS2022,Austria,Mine production,1570,1600
MCS2022,Bulgaria,Mine production,8350,8400
MCS2022,Canada,Mine production,4700,5000
MCS2022,France,Mine production,11000,11000
MCS2022,Guatemala,Mine production,1900,1900
MCS2022,India,Mine production,11900,12000
MCS2022,Indonesia,Mine production,2640,2600
MCS2022,Italy,Mine production,10000,10000
MCS2022,Japan,Mine production,1920,1900
MCS2022,Malaysia,Mine production,3700,4000
MCS2022,Mexico,Mine production,2700,3000
MCS2022,Netherlands,Mine production,54000,54000
MCS2022,Poland,Mine production,5490,5500
MCS2022,South Africa,Mine production,2300,2200
MCS2022,Spain,Mine production,5700,5700
MCS2022,Turkey,Mine production,10300,12000
MCS2022,United Kingdom,Mine production,4400,4400
MCS2022,Other countries,Mine production,16900,18000
MCS2022,World total (rounded),Mine production,235000,240000
