Source,Country,Type,Prod_t_2020,Prod_t_Est_2021
MCS2022,United States,Refinery production,W,0
MCS2022,Belgium,Refinery production,200,200
MCS2022,Canada,Refinery production,60,60
MCS2022,China,Refinery production,1200,1100
MCS2022,Finland,Refinery production,84,100
MCS2022,Germany,Refinery production,300,300
MCS2022,India,Refinery production,14,10
MCS2022,Japan,Refinery production,740,750
MCS2022,Peru,Refinery production,35,40
MCS2022,Poland,Refinery production,74,65
MCS2022,Russia,Refinery production,340,300
MCS2022,Sweden,Refinery production,10,20
MCS2022,Turkey,Refinery production,50,50
MCS2022,Other countries,Refinery production,14,25
MCS2022,World total (rounded),Refinery production,3120,3000
