Source,Country,Type,Prod_t_2020,Prod_t_Est_2021
MCS2022,United States,Mine production,1030,1000
MCS2022,Argentina,Mine production,710,800
MCS2022,Australia,Mine production,1340,1300
MCS2022,Bolivia,Mine production,930,1000
MCS2022,Chile,Mine production,1580,1600
MCS2022,China,Mine production,3380,3400
MCS2022,Kazakhstan,Mine production,435,450
MCS2022,Mexico,Mine production,5540,5600
MCS2022,Peru,Mine production,2770,3000
MCS2022,Poland,Mine production,1250,1300
MCS2022,Russia,Mine production,1320,1300
MCS2022,Other countries,Mine production,3230,3100
MCS2022,World total (rounded),Mine production,23500,24000
