Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,silicon content of combined totals for ferrosilicon and silicon metal production,277,310
MCS2022,Australia,silicon content of combined totals for ferrosilicon and silicon metal production,42,42
MCS2022,Bhutan9,silicon content of ferrosilicon production,67,70
MCS2022,Brazil,silicon content of combined totals for ferrosilicon and silicon metal production,404,390
MCS2022,Canada,silicon content of combined totals for ferrosilicon and silicon metal production,47,50
MCS2022,China,silicon content of combined totals for ferrosilicon and silicon metal production,5600,6000
MCS2022,France,silicon content of combined totals for ferrosilicon and silicon metal production,112,120
MCS2022,Iceland,silicon content of combined totals for ferrosilicon and silicon metal production,103,110
MCS2022,India9,silicon content of ferrosilicon production,59,60
MCS2022,Kazakhstan,silicon content of combined totals for ferrosilicon and silicon metal production,67,67
MCS2022,Malaysia9,silicon content of ferrosilicon production,109,80
MCS2022,Norway,silicon content of combined totals for ferrosilicon and silicon metal production,345,350
MCS2022,Poland,silicon content of combined totals for ferrosilicon and silicon metal production,42,42
MCS2022,Russia,silicon content of combined totals for ferrosilicon and silicon metal production,576,580
MCS2022,Spain,silicon content of combined totals for ferrosilicon and silicon metal production,55,58
MCS2022,Ukraine9,silicon content of ferrosilicon production,40,49
MCS2022,Other countries,silicon content of combined totals for ferrosilicon and silicon metal production,175,160
MCS2022,World total (rounded),silicon content of combined totals for ferrosilicon and silicon metal production,8120,8500
