Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,"Production, all forms, thousand metric tons contained sulfur",7890,8100
MCS2022,Australia,"Production, all forms, thousand metric tons contained sulfur",900,900
MCS2022,Brazil,"Production, all forms, thousand metric tons contained sulfur",500,500
MCS2022,Canada,"Production, all forms, thousand metric tons contained sulfur",4900,4900
MCS2022,Chile,"Production, all forms, thousand metric tons contained sulfur",1300,1300
MCS2022,China,"Production, all forms, thousand metric tons contained sulfur",17300,17000
MCS2022,Finland,"Production, all forms, thousand metric tons contained sulfur",717,720
MCS2022,Germany,"Production, all forms, thousand metric tons contained sulfur",633,630
MCS2022,Greece,"Production, all forms, thousand metric tons contained sulfur",500,500
MCS2022,India,"Production, all forms, thousand metric tons contained sulfur",3460,3500
MCS2022,Iran,"Production, all forms, thousand metric tons contained sulfur",2200,2200
MCS2022,Japan,"Production, all forms, thousand metric tons contained sulfur",3040,3000
MCS2022,Kazakhstan,"Production, all forms, thousand metric tons contained sulfur",4480,4500
MCS2022,"Korea, Republic of","Production, all forms, thousand metric tons contained sulfur",3080,3100
MCS2022,Kuwait,"Production, all forms, thousand metric tons contained sulfur",620,600
MCS2022,Poland,"Production, all forms, thousand metric tons contained sulfur",992,1000
MCS2022,Qatar,"Production, all forms, thousand metric tons contained sulfur",2000,2000
MCS2022,Russia,"Production, all forms, thousand metric tons contained sulfur",7530,7500
MCS2022,Saudi Arabia,"Production, all forms, thousand metric tons contained sulfur",6500,6500
MCS2022,South Africa,"Production, all forms, thousand metric tons contained sulfur",900,900
MCS2022,Turkmenistan,"Production, all forms, thousand metric tons contained sulfur",700,700
MCS2022,United Arab Emirates,"Production, all forms, thousand metric tons contained sulfur",6000,6000
MCS2022,Other countries,"Production, all forms, thousand metric tons contained sulfur",3600,3600
MCS2022,World total (rounded),"Production, all forms, thousand metric tons contained sulfur",79800,80000
