Source,Country,Type,Prod_t_2020,Prod_t_Est_2021
MCS2022,United States,Mine production,0,0
MCS2022,Australia,Mine production,34,62
MCS2022,Bolivia,Mine production,7,7
MCS2022,Brazil,Mine production,470,470
MCS2022,Burundi,Mine production,24,32
MCS2022,China,Mine production,74,76
MCS2022,Congo (Kinshasa),Mine production,780,700
MCS2022,Ethiopia,Mine production,69,52
MCS2022,Mozambique,Mine production,43,43
MCS2022,Nigeria,Mine production,260,260
MCS2022,Russia,Mine production,49,39
MCS2022,Rwanda,Mine production,254,270
MCS2022,Uganda,Mine production,38,40
MCS2022,World total (rounded),Mine production,2100,2100
