Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production: Ilmenite and rutile,100,100
MCS2022,Australia,Mine production: Ilmenite,480,480
MCS2022,Brazil,Mine production: Ilmenite,34,66
MCS2022,Canada,Mine production: Ilmenite,595,600
MCS2022,China,Mine production: Ilmenite,2800,3000
MCS2022,India,Mine production: Ilmenite,174,180
MCS2022,Kenya,Mine production: Ilmenite,201,190
MCS2022,Madagascar,Mine production: Ilmenite,254,310
MCS2022,Mozambique,Mine production: Ilmenite,965,970
MCS2022,Norway,Mine production: Ilmenite,444,440
MCS2022,Senegal,Mine production: Ilmenite,300,360
MCS2022,South Africa,Mine production: Ilmenite,1020,1000
MCS2022,Ukraine,Mine production: Ilmenite,464,430
MCS2022,Vietnam,Mine production: Ilmenite,138,220
MCS2022,Other countries,Mine production: Ilmenite,67,67
MCS2022,"World total (ilmenite, rounded)",World total mine production: Ilmenite (rounded),8000,8400
MCS2022,Australia,Mine production: rutile,190,200
MCS2022,India,Mine production: rutile,11,11
MCS2022,Kenya,Mine production: rutile,73,71
MCS2022,Madagascar,Mine production: rutile,8,10
MCS2022,Mozambique,Mine production: rutile,6,9
MCS2022,Senegal,Mine production: rutile,9,10
MCS2022,Sierra Leone,Mine production: rutile,114,120
MCS2022,South Africa,Mine production: rutile,86,90
MCS2022,Ukraine,Mine production: rutile,95,95
MCS2022,Other countries,Mine production: rutile,13,13
MCS2022,"World total (rutile, rounded)",World total mine production: rutile (rounded),605,630
MCS2022,"World total (ilmenite and rutile, rounded)",World total mine production: ilmentite and rutile (rounded),8600,9000
,,,,
,,,,
,,,,
,,,,
