Source,Country,Type,Prod_t_2020,Prod_t_Est_2021
MCS2022,United States,"Mine production, contained tungsten ",0,0
MCS2022,Austria,"Mine production, contained tungsten ",890,900
MCS2022,Bolivia,"Mine production, contained tungsten ",1350,1400
MCS2022,China,"Mine production, contained tungsten ",66000,66000
MCS2022,"Korea, North","Mine production, contained tungsten ",410,400
MCS2022,Portugal,"Mine production, contained tungsten ",550,620
MCS2022,Russia,"Mine production, contained tungsten ",2400,2400
MCS2022,Rwanda,"Mine production, contained tungsten ",860,950
MCS2022,Spain,"Mine production, contained tungsten ",500,900
MCS2022,Vietnam,"Mine production, contained tungsten ",4500,4500
MCS2022,Other countries,"Mine production, contained tungsten ",960,1200
MCS2022,World total (rounded),"Mine production, contained tungsten ",78400,79000
