Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,Mine production,100,100
MCS2022,Brazil,Mine production,50,60
MCS2022,Bulgaria,Mine production,10,10
MCS2022,China,Mine production,NA,NA
MCS2022,India,Mine production,2,2
MCS2022,Mexico,Mine production,Less than ½ unit.,Less than ½ unit.
MCS2022,Russia,Mine production,29,30
MCS2022,South Africa,Mine production,150,140
MCS2022,Turkey,Mine production,1,1
MCS2022,Uganda,Mine production,9,10
MCS2022,Uzbekistan,Mine production,2,2
MCS2022,Zimbabwe,Mine production,29,30
MCS2022,World total (rounded),Mine production,380,390
