Source,Country,Type,Prod_t_2020,Prod_t_Est_2021
MCS2022,United States,  Mine production,86700,87000
MCS2022,China,  Mine production,52000,52000
MCS2022,Cuba,  Mine production,53000,53000
MCS2022,Georgia,  Mine production,135000,140000
MCS2022,Hungary,  Mine production,29000,29000
MCS2022,Indonesia,  Mine production,130000,130000
MCS2022,Jordan,  Mine production,711000,710000
MCS2022,"Korea, Republic of",  Mine production,131000,130000
MCS2022,New Zealand,  Mine production,100000,100000
MCS2022,Russia,  Mine production,35000,35000
MCS2022,Slovakia,  Mine production,117000,120000
MCS2022,Turkey,  Mine production,73000,50000
MCS2022,Other countries,  Mine production,5450,5500
MCS2022,World total (rounded),  Mine production,1660000,1600000
