Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,"Mine production, zinc content of concentrates and direct shipping ores",718,740
MCS2022,Australia,"Mine production, zinc content of concentrates and direct shipping ores",1310,1300
MCS2022,Bolivia,"Mine production, zinc content of concentrates and direct shipping ores",360,490
MCS2022,Canada,"Mine production, zinc content of concentrates and direct shipping ores",211,260
MCS2022,China,"Mine production, zinc content of concentrates and direct shipping ores",4060,4200
MCS2022,India,"Mine production, zinc content of concentrates and direct shipping ores",720,810
MCS2022,Kazakhstan,"Mine production, zinc content of concentrates and direct shipping ores",222,220
MCS2022,Mexico,"Mine production, zinc content of concentrates and direct shipping ores",638,720
MCS2022,Peru,"Mine production, zinc content of concentrates and direct shipping ores",1330,1600
MCS2022,Russia,"Mine production, zinc content of concentrates and direct shipping ores",280,280
MCS2022,Sweden,"Mine production, zinc content of concentrates and direct shipping ores",232,230
MCS2022,Other countries,"Mine production, zinc content of concentrates and direct shipping ores",1950,2000
MCS2022,World total (rounded),"Mine production, zinc content of concentrates and direct shipping ores",12000,13000
