Source,Country,Type,Prod_kt_2020,Prod_kt_Est_2021
MCS2022,United States,"Mine production, zirconium ores and zircon concentrates",30,30
MCS2022,Australia,"Mine production, zirconium ores and zircon concentrates",400,400
MCS2022,China,"Mine production, zirconium ores and zircon concentrates",140,140
MCS2022,Indonesia,"Mine production, zirconium ores and zircon concentrates",64,55
MCS2022,Kenya,"Mine production, zirconium ores and zircon concentrates",29,30
MCS2022,Mozambique,"Mine production, zirconium ores and zircon concentrates",110,110
MCS2022,Senegal,"Mine production, zirconium ores and zircon concentrates",60,70
MCS2022,South Africa,"Mine production, zirconium ores and zircon concentrates",280,270
MCS2022,Other countries,"Mine production, zirconium ores and zircon concentrates",117,110
MCS2022,World total (rounded),"Mine production, zirconium ores and zircon concentrates",1200,1200
